title,price,rating,review_count,url,asin,Manufacturer,description
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping ",₹699,3.9 out of 5 stars,"(2,195)",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W, , , 
DEIN KLEIDER Men's Nylon Messenger Bag ,₹349,4.0 out of 5 stars,"(4,404)",https://amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M, , , 
Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3) ,₹615,3.9 out of 5 stars,"(4,074)",https://amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS,B082Z3HFZD,Fiesto Fashion," Enrich your look with this handbag Fiesto Fashion available on Amazon. Fiesto Fashion offers handbags in every style, shape and color. It’s a perfect accessory for your outfits. Match it with pair of heels/sandals to give complete look. "
ADISA Light Weight Laptop Backpack 32 Ltrs ,₹499,4.0 out of 5 stars,"(5,549)",https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ, , , 
Kuber Industries Women's Handkerchief Set (Cream) ,₹312.62,3.8 out of 5 stars,(473),https://amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM, B082VDVJGM ," Kuber Industries,G-185, Bank of Baroda lane,Garment Zone, Sitapura Industrial Area , Jaipur , 302022, 91-7073942409 ", 
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK) ",₹899,3.9 out of 5 stars,(676),https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,B09B25Z8M2,Safari Industries," Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. "
Kuber Industries Women's Handkerchief Set (Cream) ,₹312.62,3.8 out of 5 stars,(473),https://amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM, B082VDVJGM ," Kuber Industries,G-185, Bank of Baroda lane,Garment Zone, Sitapura Industrial Area , Jaipur , 302022, 91-7073942409 ", 
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",₹329,4.1 out of 5 stars,"(7,655)",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8, B088XB5XY8 ," Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103 ", 
Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle ,"₹1,039",4.2 out of 5 stars,"(3,601)",https://amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF, , , 
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty ,₹512,4.1 out of 5 stars,"(4,871)",https://amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G, B08X2T2M8G ," Texcoco Enterprises, 9958166528 ", 
